"","circunscripcion","organismo","año_mes","Total","SUCESORIOS","EJECUCIONES","ORDINARIOS","SUMARISIMO","COBRO DE PESOS","DESALOJO","INCIDENTES","CAUTELARES","MONITORIOS","INTERDICTOS","PROC.COSTIT.","PREPARATORIOS","BENEF.LITIG.SG.","HOMOLOGACIONES","OTROS"
"132","Uruguay","Jdo Civ y Com 1","2024-05","46","25","3","5","0","0","0","0","0","1","0","0","0","8","1","3"
"133","Uruguay","Jdo Civ y Com 1","2024-06","35","20","3","4","0","0","0","0","2","1","0","1","0","1","0","3"
"134","Uruguay","Jdo Civ y Com 2","2024-03","48","29","2","8","0","0","2","1","2","0","0","0","0","4","0","0"
"135","Uruguay","Jdo Civ y Com 2","2024-04","42","19","3","4","0","0","0","3","1","0","0","1","0","5","0","6"
"136","Uruguay","Jdo Civ y Com 2","2024-05","44","26","2","3","0","0","2","0","1","0","0","0","0","3","0","7"
"137","Uruguay","Jdo Civ y Com 2","2024-06","37","19","4","4","0","0","1","1","0","0","0","1","0","1","0","6"
"138","Victoria","Jdo Civ y Com -ccomp.La","2024-03","17","12","0","0","0","0","1","0","0","1","0","0","0","1","0","2"
"139","Victoria","Jdo Civ y Com -ccomp.La","2024-04","20","9","1","5","0","0","0","1","1","0","0","0","0","2","0","1"
"140","Victoria","Jdo Civ y Com -ccomp.La","2024-05","38","17","2","12","0","0","0","1","0","1","0","0","0","2","0","3"
"141","Victoria","Jdo Civ y Com -ccomp.La","2024-06","30","15","2","5","0","0","2","0","0","0","0","0","0","3","0","3"
"142","Villaguay","Jdo Civ y Com 1 -ccomp.","2024-03","18","9","4","2","0","0","0","0","1","0","0","1","0","1","0","0"
"143","Villaguay","Jdo Civ y Com 1 -ccomp.","2024-04","16","8","2","1","0","1","0","0","1","0","0","1","0","0","0","2"
"144","Villaguay","Jdo Civ y Com 1 -ccomp.","2024-05","25","8","3","4","0","0","2","0","1","4","0","0","0","1","0","2"
"145","Villaguay","Jdo Civ y Com 1 -ccomp.","2024-06","15","7","0","3","0","0","3","0","0","0","0","0","0","1","0","1"
"146","Villaguay","Jdo Civ y Com 2 -ccomp.","2024-03","16","8","3","2","0","0","0","1","0","0","0","0","0","0","0","2"
"147","Villaguay","Jdo Civ y Com 2 -ccomp.","2024-04","21","7","7","3","0","0","0","1","0","0","0","2","0","0","0","1"
"148","Villaguay","Jdo Civ y Com 2 -ccomp.","2024-05","24","7","5","3","0","0","1","2","2","0","0","0","0","0","0","4"
"149","Villaguay","Jdo Civ y Com 2 -ccomp.","2024-06","18","7","3","2","0","1","2","0","0","0","0","0","0","1","0","2"
